,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQM,PricePerSQM
895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77012858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,42.352413,-71.08269,2731,2116.0,1.0,1.0,55.7418,42.1586672838
896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77012858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,42.35123,-71.08382399999999,2731,2116.0,1.0,1.0,45.057955,93.2132849793
897,0.0,0.098,59.8,2.838,0.0,0.08199999999999999,9.183,100810351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,5.0,14.0,2.0,375.2,9.183,0.107,0.0,14.0,16.0,6.047000000000001,0.0,0.0,0.0,1.955,0.0,0.146,0.0,0.0,0.0,0.0,1.0,16.97,42.345913,-71.07921,2731,2116.0,2.0,2.5,127.46291599999999,36.8734699275
899,0.0,0.026000000000000002,44.48,4.689,0.0,0.61,3.931,75319706.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.348,4.0,22.0,2.0,87.4,3.931,0.23600000000000002,2.28,26.0,3.0,4.909,0.0,0.0,0.0,1.061,0.0,0.318,0.042,0.0,0.0,2.229,0.0,22.98,42.35498,-71.075356,2731,2116.0,1.0,1.0,111.4836,34.0857309954
900,0.0,0.026000000000000002,44.48,4.689,0.0,0.61,3.931,75319706.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.348,4.0,22.0,2.0,87.4,3.931,0.23600000000000002,2.28,26.0,3.0,4.909,0.0,0.0,0.0,1.061,0.0,0.318,0.042,0.0,0.0,2.229,0.0,22.98,42.354954,-71.07543000000001,2731,2116.0,1.0,1.0,251.76712999999998,15.093312617899999
901,0.0,0.098,59.8,2.838,0.0,0.08199999999999999,9.183,100810351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,5.0,14.0,2.0,375.2,9.183,0.107,0.0,14.0,16.0,6.047000000000001,0.0,0.0,0.0,1.955,0.0,0.146,0.0,0.0,0.0,0.0,1.0,16.97,42.345929999999996,-71.07991,2731,2116.0,1.0,1.0,74.3224,63.2245460319
902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258099398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,4.0,115.8,0.0,0.0,0.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.353024,-71.07224000000001,621,2116.0,3.0,2.0,130.0642,34.5982983788
903,2.827,0.0,19.12,1.879,0.0,47.04,0.0,45562831.0,0.595,0.0,0.0,0.0,0.877,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,22.0,3.0,0.297,0.0,0.158,0.0,0.0,0.138,1.851,2.03,0.0,0.0,0.0,0.0,2.3480000000000003,42.35318,-71.0766,1242,2116.0,1.0,1.0,65.0321,49.2064688054
904,0.0,0.396,63.13,6.5920000000000005,0.0,0.865,1.306,86170301.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,13.0,37.0,6.0,147.1,1.306,0.0,0.052000000000000005,43.0,19.0,0.5920000000000001,0.0,0.0,0.036000000000000004,5.827999999999999,0.0,1.0859999999999999,0.0,0.0,0.055999999999999994,0.0,0.0,10.33,42.352276,-71.06624000000001,2735,2116.0,1.0,1.0,69.67725,36.597311174
905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96854924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,1.0,154.3,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.351624,-71.08071,819,2116.0,1.0,1.0,54.348255,65.31948449859999
